DBN,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
75K753,P.S. K753 - SCHOOL FOR CAREER DEVELOPMENT (75K753),Brooklyn,D75,3,3,,3,,1,1,No,No,No
75K771,P.S. K771 (75K771),Brooklyn,D75,18,3,,3,,1,1,No,No,No
75K811,P.S. K811 CONNIE LEKAS SCHOOL (75K811),Brooklyn,D75,3,3,,3,,1,1,No,No,No
75M035,P.S. 035 (75M035),Manhattan,D75,3,3,,3,,1,1,No,No,No
75M079,P.S. M079 - HORAN SCHOOL (75M079),Manhattan,D75,3,3,,3,,1,1,No,No,No
75M094,P.S. M094 (75M094),Manhattan,D75,3,3,,3,,1,1,No,No,No
75M138,P.S. 138 (75M138),Manhattan,D75,7,3,,3,,1,1,No,No,No
75M169,P.S. M169 - ROBERT F. KENNEDY (75M169),Manhattan,D75,8,3,,3,,1,1,No,No,No
75M501,HOME INSTRUCTION (75M501),Manhattan,D75,3,3,,3,,1,1,No,No,No
75M751,MANHATTAN SCHOOL FOR CAREER DEVELOPMENT (75M751),Manhattan,D75,7,3,,3,,1,1,No,No,No
75M811,P.S. M811 - MICKEY MANTLE SCHOOL (75M811),Manhattan,D75,18,3,,3,,1,1,No,No,No
75Q004,P.S. Q004 (75Q004),Queens,D75,3,3,,3,,1,1,No,No,No
75Q009,P.S. 009 (75Q009),Queens,D75,24,3,,3,,1,1,No,No,No
75Q023,P.S. Q023 @ QUEENS CHILDREN CENTER (75Q023),Queens,D75,11,3,,3,,1,1,No,No,No
75Q075,ROBERT E. PEARY SCHOOL (75Q075),Queens,D75,33,3,,3,,1,1,No,No,No
75Q177,P.S. Q177 (75Q177),Queens,D75,3,3,,3,,1,1,No,No,No
75Q224,P.S. Q224 (75Q224),Queens,D75,9,3,,3,,1,1,No,No,No
75Q255,P.S. Q255 (75Q255),Queens,D75,3,3,,3,,1,1,No,No,No
