DBN,Dist,loc_code,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
84X255,84,X255,BRONX CHARTER SCHOOL FOR EXCELLENCE (84X255),Bronx,Charter,85,53,62.4,9,17,0,0,No,No,No
84X309,84,X309,SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTURES AND THE ARTS (84X309),Bronx,Charter,43,6,14,0-5,NA,0,1,No,No,No
84X345,84,X345,HYDE LEADERSHIP CHARTER SCHOOL (84X345),Bronx,Charter,26,9,34.6,0-5,NA,0,1,No,No,No
84X346,84,X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL (84X346),Bronx,Charter,28,23,82.1,0-5,NA,0,1,No,No,No
84X362,84,X362,ICAHN CHARTER SCHOOL 7 (84X362),Bronx,Charter,29,13,44.8,0-5,NA,0,1,No,No,No
84X364,84,X364,SOUTH BRONX CLASSICAL CHARTER SCHOOL II (84X364),Bronx,Charter,12,11,91.7,0-5,NA,0,1,No,No,No
84X378,84,X378,ICAHN CHARTER SCHOOL 2 (84X378),Bronx,Charter,31,22,71,0-5,NA,0,1,No,No,No
84X380,84,X380,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 3 (84X380),Bronx,Charter,57,43,75.4,9,20.9,0,0,No,No,No
84X387,84,X387,BRILLA COLLEGE PREP CHARTER SCHOOL (84X387),Bronx,Charter,66,22,33.3,0-5,NA,0,1,No,No,No
84X389,84,X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER SCHOOL (84X389),Bronx,Charter,40,8,20,0-5,NA,0,1,No,No,No
84X394,84,X394,MOTT HAVEN ACADEMY CHARTER SCHOOL (84X394),Bronx,Charter,50,9,18,0-5,NA,0,1,No,No,No
84X398,84,X398,BRONX COMMUNITY CHARTER SCHOOL (84X398),Bronx,Charter,54,8,14.8,0-5,NA,0,1,No,No,No
84X419,84,X419,BRONX ACADEMY OF PROMISE CHARTER SCHOOL (84X419),Bronx,Charter,57,26,45.6,0-5,NA,0,1,No,No,No
84X422,84,X422,ICAHN CHARTER SCHOOL 3 (84X422),Bronx,Charter,28,13,46.4,0-5,NA,0,1,No,No,No
84X460,84,X460,ATMOSPHERE CHARTER SCHOOL (84X460),Bronx,Charter,139,55,39.6,0-5,NA,0,1,No,No,No
84X461,84,X461,METROPOLITAN LIGHTHOUSE CHARTER SCHOOL (84X461),Bronx,Charter,28,12,42.9,0-5,NA,0,1,No,No,No
84X471,84,X471,AMERICAN DREAM CHARTER SCHOOL (84X471),Bronx,Charter,18,9,50,0-5,NA,0,1,No,No,No
84X482,84,X482,DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL (84X482),Bronx,Charter,20,0-5,NA,0-5,NA,1,1,No,No,No
84X487,84,X487,GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX (84X487),Bronx,Charter,79,18,22.8,0-5,NA,0,1,No,No,No
84X488,84,X488,THE EQUALITY CHARTER SCHOOL (84X488),Bronx,Charter,18,9,50,0-5,NA,0,1,No,No,No
84X491,84,X491,ACADEMIC LEADERSHIP CHARTER SCHOOL (84X491),Bronx,Charter,50,14,28,0-5,NA,0,1,No,No,No
84X492,84,X492,SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL (84X492),Bronx,Charter,109,16,14.7,0-5,NA,0,1,No,No,No
84X494,84,X494,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2 (84X494),Bronx,Charter,41,27,65.9,0-5,NA,0,1,No,No,No
84X496,84,X496,ICAHN CHARTER SCHOOL 4 (84X496),Bronx,Charter,33,16,48.5,0-5,NA,0,1,No,No,No
84X538,84,X538,ICAHN CHARTER SCHOOL 5 (84X538),Bronx,Charter,28,15,53.6,0-5,NA,0,1,No,No,No
84X585,84,X585,LEGACY COLLEGE PREPARATORY (84X585),Bronx,Charter,41,21,51.2,0-5,NA,0,1,No,No,No
84X703,84,X703,BRONX PREPARATORY CHARTER SCHOOL (84X703),Bronx,Charter,19,8,42.1,0-5,NA,0,1,No,No,No
84X704,84,X704,KIPP ACADEMY CHARTER SCHOOL (84X704),Bronx,Charter,15,6,40,0-5,NA,0,1,No,No,No
84X706,84,X706,HARRIET TUBMAN CHARTER SCHOOL (84X706),Bronx,Charter,64,15,23.4,0-5,NA,0,1,No,No,No
84X717,84,X717,ICAHN CHARTER SCHOOL (84X717),Bronx,Charter,29,7,24.1,0-5,NA,0,1,No,No,No
84X730,84,X730,BRONX CHARTER SCHOOL FOR THE ARTS (84X730),Bronx,Charter,100,13,13,0-5,NA,0,1,No,No,No
