ATS_CODE,BORO,BORONUM,LOC_CODE,ADDRESS,STATE_CODE,ZIP,City,DBN,Dist,MS,Borough,CSD,Total Stud,Students T,Percent of,Total St_1,Percent _1,Fewer than,Fewer th_1,Gifted and,HS Program,Citywide,result_num,status,formatted_,place_id,location_t,latlong
32K384      ,K,2,K384,242 COOPER STREET,NY,"11207",BROOKLYN,32K384,"32",P.S. /I.S. 384 FRANCES E. CARTER (32K384),Brooklyn,D32,"52",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
84K357,K,2,K357,1224 PARK PLACE,NY,"11213",BROOKLYN,84K357,"84",KIPP AMP CHARTER SCHOOL (84K357),Brooklyn,Charter,"36","18","50",0-5,NA,"0","1",No,No,No,,,,,,
07X296      ,X,2,X296,778 FOREST AVENUE,NY,"10456",BRONX,07X296,"7",SOUTH BRONX ACADEMY FOR APPLIED MEDIA (07X296),Bronx,D7,"69","11","15.9",0-5,NA,"0","1",No,No,No,,,,,,
84K358,K,2,K358,557 PENNSYLVANIA AVENUE,NY,"11207",BROOKLYN,84K358,"84",ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL (84K358),Brooklyn,Charter,"39","30","76.9",0-5,NA,"0","1",No,No,No,,,,,,
84K355,K,2,K355,157 WILSON STREET,NY,"11211",BROOKLYN,84K355,"84",WILLIAMSBURG COLLEGIATE CHARTER SCHOOL (84K355),Brooklyn,Charter,"43","14","32.6",0-5,NA,"0","1",No,No,No,,,,,,
84K356,K,2,K356,790 EAST NEW YORK AVENUE,NY,"11203",BROOKLYN,84K356,"84",ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL (84K356),Brooklyn,Charter,"58","23","39.7",0-5,NA,"0","1",No,No,No,,,,,,
17K353      ,K,2,K353,750 CLASSON AVENUE,NY,"11238",BROOKLYN,17K353,"17",ELIJAH STROUD MIDDLE SCHOOL (17K353),Brooklyn,D17,"63",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
17K354      ,K,2,K354,1224 PARK PLACE,NY,"11213",BROOKLYN,17K354,"17",THE SCHOOL OF INTEGRATED LEARNING (17K354),Brooklyn,D17,"117","57","48.7",0-5,NA,"0","1",No,No,No,,,,,,
11X287      ,X,2,X287,3710 BARNES AVENUE,NY,"10467",BRONX,11X287,"11",NORTH BRONX SCHOOL OF EMPOWERMENT (11X287),Bronx,D11,"135","16","11.9",0-5,NA,"0","1",No,No,No,,,,,,
17K352      ,K,2,K352,46 MCKEEVER PLACE,NY,"11225",BROOKLYN,17K352,"17",EBBETS FIELD MIDDLE SCHOOL (17K352),Brooklyn,D17,"49","7","14.3",0-5,NA,"0","1",No,No,No,,,,,,
75K370      ,K,2,K370,3000 WEST 1 STREET,NY,"11224",BROOKLYN,75K370,"75",P.S. 370 (75K370),Brooklyn,D75,"12",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
84X255,X,2,X255,1960 BENEDICT AVENUE,NY,"10462",BRONX,84X255,"84",BRONX CHARTER SCHOOL FOR EXCELLENCE (84X255),Bronx,Charter,"85","53","62.4","9","17","0","0",No,No,No,,,,,,
75K368      ,K,2,K368,70 TOMPKINS AVENUE,NY,"11206",BROOKLYN,75K368,"75",P.S. 368 (75K368),Brooklyn,D75,"14",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
75K369      ,K,2,K369,383 STATE STREET,NY,"11217",BROOKLYN,75K369,"75",P.S. K369 - COY L. COX SCHOOL (75K369),Brooklyn,D75,"23",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
84K362,K,2,K362,646 FIFTH AVENUE,NY,"11215",BROOKLYN,84K362,"84",HELLENIC CLASSICAL CHARTER SCHOOL (84K362),Brooklyn,Charter,"49","22","44.9","6","27.3","0","0",No,No,No,,,,,,
10X254      ,X,2,X254,2452 WASHINGTON AVENUE,NY,"10458",BRONX,10X254,"10",I.S. 254 (10X254),Bronx,D10,"157","17","10.8",0-5,NA,"0","1",No,No,No,,,,,,
19K364      ,K,2,K364,1426 FREEPORT LOOP,NY,"11239",BROOKLYN,19K364,"19",I.S. 364 GATEWAY (19K364),Brooklyn,D19,"76","15","19.7",0-5,NA,"0","1",No,No,No,,,,,,
12X273      ,X,2,X273,2111 CROTONA AVENUE,NY,"10457",BRONX,12X273,"12",FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL (12X273),Bronx,D12,"61","12","19.7",0-5,NA,"0","1",No,No,No,,,,,,
12X271      ,X,2,X271,1716 SOUTHERN BOULEVARD,NY,"10460",BRONX,12X271,"12",EAST BRONX ACADEMY FOR THE FUTURE (12X271),Bronx,D12,"86","10","11.6",0-5,NA,"0","1",No,No,No,,,,,,
